number_complaints,officer,salary,year
2,15881,79926,2011
2,15881,80724,2012
2,15881,85662,2014
2,15881,86520,2015
2,15895,43104,2012
2,15895,68994,2014
2,15969,61530,2012
2,15969,83220,2016
2,15981,79926,2011
2,15981,80724,2012
2,15981,80724,2013
2,15981,89718,2015
2,15997,43104,2007
2,15997,83220,2016
2,16037,43104,2013
2,16060,57426,2002
2,16060,83214,2006
2,16060,93816,2010
2,16060,96648,2013
2,16077,54672,2002
2,16077,58572,2004
2,16077,64662,2005
2,16077,68262,2007
2,16077,70656,2008
2,16077,80724,2013
2,16103,61512,2002
2,16103,72726,2005
2,16104,63672,2003
2,16104,73116,2008
2,16104,73116,2009
2,16104,74178,2007
2,16104,88830,2014
2,16104,92430,2016
2,16118,46872,2002
2,16142,63654,2002
2,16142,74328,2005
2,16142,76476,2006
2,16142,78006,2009
2,16142,83604,2010
2,16144,68166,2004
2,16144,82008,2007
2,16177,58572,2003
2,16180,61530,2013
2,16180,68994,2014
2,16200,74628,2011
2,16200,75372,2012
2,16224,58572,2003
2,16224,58572,2004
2,16224,77238,2011
2,16224,80724,2013
2,16282,42258,2006
2,16282,69648,2010
2,16282,79980,2014
2,16282,80778,2015
2,16282,86142,2016
2,16282,87006,2017
2,16407,64926,2003
2,16407,64926,2004
2,16407,78006,2009
2,16408,80016,2017
2,16486,88578,2006
2,16486,162684,2016
2,16496,141888,2008
2,16496,145452,2006
2,16496,151896,2010
2,16496,154932,2011
2,16496,154932,2012
2,16496,154932,2013
2,16517,58572,2003
2,16517,78360,2010
2,16517,80724,2013
2,16535,80016,2017
2,16549,80778,2015
2,16549,84054,2017
2,16559,43104,2013
2,16559,69684,2015
2,16559,75510,2016
2,16578,76446,2008
2,16578,86508,2011
2,16578,87372,2013
2,16578,99978,2016
2,16612,66924,2006
2,16612,74178,2009
2,16612,79500,2010
2,16612,90846,2015
2,16639,59412,2002
2,16639,71682,2006
2,16639,73116,2007
2,16639,73116,2009
2,16649,69264,2003
2,16655,80808,2002
2,16655,82422,2003
2,16655,82422,2004
2,16663,65946,2015
